,target,sex,race,age_cat,priors_count,c_charge_degree
0,0,0.0,0.0,25 to 45,More than 3,F
1,0,0.0,1.0,25 to 45,0,M
2,1,0.0,0.0,25 to 45,More than 3,F
3,1,0.0,1.0,25 to 45,More than 3,M
4,0,0.0,1.0,25 to 45,More than 3,F
5,1,0.0,0.0,25 to 45,More than 3,F
6,1,0.0,1.0,25 to 45,1 to 3,F
7,0,0.0,1.0,Greater than 45,1 to 3,F
8,0,0.0,0.0,25 to 45,1 to 3,F
9,0,0.0,0.0,Greater than 45,More than 3,F
10,0,0.0,0.0,Less than 25,0,M
11,0,0.0,0.0,25 to 45,0,M
12,1,0.0,0.0,25 to 45,More than 3,M
13,0,0.0,1.0,25 to 45,1 to 3,M
14,1,0.0,0.0,Less than 25,1 to 3,F
15,0,0.0,0.0,25 to 45,0,F
16,0,0.0,1.0,25 to 45,More than 3,F
17,0,0.0,1.0,25 to 45,1 to 3,F
18,0,1.0,0.0,Greater than 45,0,M
19,1,0.0,0.0,25 to 45,More than 3,M
20,1,1.0,0.0,25 to 45,More than 3,F
21,1,0.0,1.0,Less than 25,More than 3,F
22,0,0.0,0.0,25 to 45,1 to 3,M
23,0,1.0,1.0,25 to 45,0,M
24,1,0.0,1.0,25 to 45,0,F
25,0,1.0,0.0,25 to 45,0,M
26,0,0.0,0.0,25 to 45,1 to 3,F
27,1,0.0,0.0,25 to 45,0,M
28,0,0.0,0.0,Greater than 45,1 to 3,M
29,1,1.0,0.0,25 to 45,More than 3,F
30,0,0.0,1.0,Greater than 45,More than 3,F
31,1,0.0,1.0,25 to 45,0,M
32,0,0.0,1.0,Greater than 45,1 to 3,F
33,1,1.0,1.0,25 to 45,More than 3,M
34,0,0.0,0.0,25 to 45,More than 3,F
35,1,0.0,1.0,Greater than 45,0,M
36,1,0.0,0.0,25 to 45,More than 3,M
37,1,1.0,1.0,25 to 45,1 to 3,F
38,0,0.0,0.0,Less than 25,1 to 3,F
39,1,0.0,0.0,Less than 25,1 to 3,F
40,1,0.0,1.0,25 to 45,0,F
41,1,0.0,1.0,25 to 45,More than 3,F
42,1,0.0,0.0,25 to 45,1 to 3,F
43,0,1.0,1.0,25 to 45,More than 3,F
44,1,0.0,0.0,Greater than 45,More than 3,M
45,0,0.0,1.0,Greater than 45,1 to 3,M
46,0,0.0,1.0,25 to 45,1 to 3,M
47,1,0.0,1.0,25 to 45,More than 3,F
48,1,0.0,0.0,25 to 45,More than 3,F
49,0,0.0,0.0,25 to 45,1 to 3,F
